Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00      744     0.00     0.00  df::program_options_lite::Option<EncAppCfg::OptionalValue<unsigned int> >::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00      713     0.00     0.00  EncGOP::xCreateIRAPLeadingSEIMessages(std::__cxx11::list<SEI*, std::allocator<SEI*> >&, SPS const*, PPS const*)
  0.00      0.03     0.00      706     0.00     0.00  RdCost::initLumaLevelToWeightTable(int)
  0.00      0.03     0.00      696     0.00     0.00  df::program_options_lite::Option<SMultiValueInput<Level::Name> >::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00      640     0.00     0.00  EncGOP::xUpdateDuInfoSEI(std::__cxx11::list<SEI*, std::allocator<SEI*> >&, SEIPictureTiming*, int)
  0.00      0.03     0.00      595     0.00     0.00  EncLib::xInitPicHeader(PicHeader&, SPS const&, PPS const&)
  0.00      0.03     0.00      550     0.00     0.00  removeHighFreq(short*, int, short const*, int, int, int)
  0.00      0.03     0.00      550     0.00     0.00  EfficientFieldIRAPMapping::restoreGOPid(int)
  0.00      0.03     0.00      550     0.00     0.00  EncGOP::arrangeCompositeReference(Slice*, std::__cxx11::list<Picture*, std::allocator<Picture*> >&, int)
  0.00      0.03     0.00      550     0.00     0.00  EncGOP::init(EncLib*)
  0.00      0.03     0.00      489     0.00     0.00  RdCost::xGetSAD12(DistParam const&)
  0.00      0.03     0.00      475     0.00     0.00  Analyze::printOut(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, ChromaFormat, bool, bool, bool, bool, bool, BitDepths const&, bool, bool)
  0.00      0.03     0.00      446     0.00     0.00  unsigned long RdCost::xGetSAD_NxN_SIMD<64, (X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00      356     0.00     0.00  writeAnnexBAccessUnit(std::ostream&, AccessUnit const&)
  0.00      0.03     0.00      338     0.00     0.00  RdCost::xGetSAD16(DistParam const&)
  0.00      0.03     0.00      301     0.00     0.00  df::program_options_lite::Option<unsigned int>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00      272     0.00     0.00  EncAppCfg::xCheckParameter()
  0.00      0.03     0.00      266     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_insert(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, unsigned long, double const&)
  0.00      0.03     0.00      245     0.00     0.00  RdCost::xGetSSE16N(DistParam const&)
  0.00      0.03     0.00      236     0.00     0.00  calcBlkGradientCore(int, int, int*, int*, int*, int*, int*, int&, int&, int&, int&, int&, int, int, int)
  0.00      0.03     0.00      223     0.00     0.00  EncGOP::xFindDistortionPlane(AreaBuf<short const> const&, AreaBuf<short const> const&, unsigned int, unsigned int, unsigned int)
  0.00      0.03     0.00      221     0.00     0.00  BinEncoderBase::getEstFracBits() const
  0.00      0.03     0.00      216     0.00     0.00  EncApp::xInitLibCfg()
  0.00      0.03     0.00      193     0.00     0.00  PelStorage::getBuf(UnitArea const&) const
  0.00      0.03     0.00      186     0.00     0.01  MergeCtx::setMmvdMergeCandiInfo(PredictionUnit&, int)
  0.00      0.03     0.00      176     0.00     0.00  EncLib::encodePrep(bool, PelStorage*, PelStorage*, PelStorage*, InputColourSpaceConversion, std::__cxx11::list<UnitBuf<short>*, std::allocator<UnitBuf<short>*> >&, int&)
  0.00      0.03     0.00      175     0.00     0.00  unsigned long RdCost::xGetSAD_IBD_SIMD<(X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00      157     0.00     0.00  RdCost::xGetMRSAD4(DistParam const&)
  0.00      0.03     0.00      150     0.00     0.00  EncLib::APSNeedsWriting(int)
  0.00      0.03     0.00      131     0.00     0.00  SMultiValueInput<double>::readValue(char const*&, bool&)
  0.00      0.03     0.00      131     0.00     0.00  SMultiValueInput<unsigned int>::readValues(std::istream&)
  0.00      0.03     0.00      123     0.00     0.00  EncLib::selectReferencePictureList(Slice*, int, int, int)
  0.00      0.03     0.00      118     0.00     0.00  EncLib::xGetNewPicBuffer(std::__cxx11::list<UnitBuf<short>*, std::allocator<UnitBuf<short>*> >&, Picture*&, int)
  0.00      0.03     0.00      115     0.00     0.00  RdCost::xGetSAD(DistParam const&)
  0.00      0.03     0.00      108     0.00     0.00  paddingCore(short*, int, int, int, int)
  0.00      0.03     0.00      108     0.00     0.00  SampleAdaptiveOffset::offsetBlock(int, ClpRng const&, int, int*, short const*, short*, int, int, int, int, bool, bool, bool, bool, bool, bool, bool, bool, bool, int*, int*, int, int)
  0.00      0.03     0.00      108     0.00     0.00  CtxStore<BinProbModel_Std>::loadPStates(std::vector<unsigned short, std::allocator<unsigned short> > const&)
  0.00      0.03     0.00       96     0.00     0.00  void simdFilter<(X86_VEXT)3, 2, true, true, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00       78     0.00     0.00  RdCost::xGetSAD16N(DistParam const&)
  0.00      0.03     0.00       76     0.00     0.00  RdCost::xCalcHADs8x4(short const*, short const*, int, int)
  0.00      0.03     0.00       72     0.00     0.00  RdCost::xCalcHADs4x8(short const*, short const*, int, int)
  0.00      0.03     0.00       63     0.00     0.00  unsigned long RdCost::xGetSAD_NxN_SIMD<4, (X86_VEXT)1>(DistParam const&)
  0.00      0.03     0.00       59     0.00     0.00  void InterpolationFilter::_initInterpolationFilterX86<(X86_VEXT)3>()
  0.00      0.03     0.00       55     0.00     0.00  df::program_options_lite::Option<SMultiValueInput<unsigned int> >::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00       51     0.00     0.00  EncAdaptiveLoopFilter::~EncAdaptiveLoopFilter()
  0.00      0.03     0.00       51     0.00     0.00  EncLib::~EncLib()
  0.00      0.03     0.00       48     0.00     0.00  EncGOP::applyDeblockingFilterParameterSelection(Picture*, unsigned int, int)
  0.00      0.03     0.00       48     0.00     0.00  RdCost::xGetMRSAD(DistParam const&)
  0.00      0.03     0.00       46     0.00     0.00  EncLib::xInitPPS(PPS&, SPS const&)
  0.00      0.03     0.00       43     0.00     0.00  df::program_options_lite::Option<Level::Tier>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00       40     0.00     0.00  CtxStore<BinProbModel_Std>::init(int, int)
  0.00      0.03     0.00       40     0.00     0.00  CtxStore<BinProbModel_Std>::copyFrom(CtxStore<BinProbModel_Std> const&)
  0.00      0.03     0.00       39     0.00     0.00  SMultiValueInput<double>::readValues(std::istream&)
  0.00      0.03     0.00       39     0.00     0.00  Slice::setDefaultClpRng(SPS const&)
  0.00      0.03     0.00       39     0.00     0.00  EncApp::EncApp(std::basic_fstream<char, std::char_traits<char> >&, EncLibCommon*)
  0.00      0.03     0.00       38     0.00     0.07  PicHeader::resetWpScaling()
  0.00      0.03     0.00       36     0.00     0.00  SizeIndexInfoLog2::init(unsigned int)
  0.00      0.03     0.00       36     0.00     0.00  RectSlice::~RectSlice()
  0.00      0.03     0.00       35     0.00     0.00  SampleAdaptiveOffset::deriveLoopFilterBoundaryAvailibility(CodingStructure&, Position const&, bool&, bool&, bool&, bool&, bool&, bool&, bool&, bool&) const
  0.00      0.03     0.00       31     0.00     0.00  SAOBlkParam::reset()
  0.00      0.03     0.00       30     0.00     0.00  RdCost::xGetSAD_full(DistParam const&)
  0.00      0.03     0.00       30     0.00     0.00  RdCost::xCalcHADs16x8(short const*, short const*, int, int)
  0.00      0.03     0.00       30     0.00     0.00  RdCost::xGetSSE(DistParam const&)
  0.00      0.03     0.00       27     0.00     0.00  EncGOP::printOutSummary(unsigned int, bool, bool, bool, bool, bool, bool, BitDepths const&, int)
  0.00      0.03     0.00       22     0.00     0.00  VPS::VPS()
  0.00      0.03     0.00       22     0.00     0.00  operator==(ConstraintInfo const&, ConstraintInfo const&)
  0.00      0.03     0.00       20     0.00     0.00  void simdFilter<(X86_VEXT)1, 4, false, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00       20     0.00     0.00  void linTf_SSE_entry<(X86_VEXT)1, 4>(short const*, int, short*, int, int, int, int, int, int, ClpRng const&, bool)
  0.00      0.03     0.00       20     0.00     0.00  void simdEqualCoeffComputer<(X86_VEXT)1>(short*, int, int**, int, long (*) [7], int, int, bool)
  0.00      0.03     0.00       18     0.00     0.00  RdCost::xGetMRSAD8(DistParam const&)
  0.00      0.03     0.00       17     0.00     0.00  EncGOP::xCalculateMSSSIM(short const*, int, short const*, int, int, int, unsigned int)
  0.00      0.03     0.00       13     0.00     0.00  void simdFilter<(X86_VEXT)1, 4, false, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00       13     0.00     0.00  PU::getInterMergeCandidates(PredictionUnit const&, MergeCtx&, int, int const&)
  0.00      0.03     0.00       13     0.00     0.00  PPS::~PPS()
  0.00      0.03     0.00       12     0.00     0.00  EncLib::encodePrep(bool, PelStorage*, PelStorage*, PelStorage*, InputColourSpaceConversion, std::__cxx11::list<UnitBuf<short>*, std::allocator<UnitBuf<short>*> >&, int&, bool)
  0.00      0.03     0.00       12     0.00     0.00  RdCost::init()
  0.00      0.03     0.00       12     0.00     0.00  Analyze::printSummary(ChromaFormat, bool, bool, BitDepths const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.03     0.00       11     0.00     0.00  void simdFilter7x7Blk<(X86_VEXT)1>(AlfClassifier**, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, Area const&, ComponentID, short const*, short const*, ClpRng const&, CodingStructure&, int, int)
  0.00      0.03     0.00       11     0.00     0.00  ScalingList::isNotDefaultScalingList()
  0.00      0.03     0.00       11     0.00     0.00  SampleAdaptiveOffset::offsetCTU(UnitArea const&, UnitBuf<short const> const&, UnitBuf<short>&, SAOBlkParam&, CodingStructure&)
  0.00      0.03     0.00       11     0.00     0.00  unsigned long RdCost::xGetSADwMask_SIMD<(X86_VEXT)1>(DistParam const&)
  0.00      0.03     0.00       11     0.00     0.00  Slice::getMinPictureDistance() const
  0.00      0.03     0.00       11     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::emplace_back<unsigned int>(unsigned int&&)
  0.00      0.03     0.00       10     0.00     0.00  void simdFilter<(X86_VEXT)3, 2, false, true, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00       10     0.00     0.00  void simdFilter<(X86_VEXT)4, 8, false, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00       10     0.00     0.00  void applyPROF_SSE<(X86_VEXT)1>(short*, int, short const*, int, int, int, short const*, short const*, int, int const*, int const*, int, bool const&, int, short, ClpRng const&)
  0.00      0.03     0.00       10     0.00     0.00  void gradFilter_SSE<(X86_VEXT)1, false>(short*, int, int, int, int, short*, short*, int)
  0.00      0.03     0.00       10     0.00     0.00  void linTf_SSE_entry<(X86_VEXT)1, 8>(short const*, int, short*, int, int, int, int, int, int, ClpRng const&, bool)
  0.00      0.03     0.00       10     0.00     0.00  void linTf_SSE_entry<(X86_VEXT)4, 8>(short const*, int, short*, int, int, int, int, int, int, ClpRng const&, bool)
  0.00      0.03     0.00       10     0.00     0.00  void xWeightedGeoBlk_SSE<(X86_VEXT)1>(PredictionUnit const&, unsigned int, unsigned int, ComponentID, unsigned char, UnitBuf<short>&, UnitBuf<short>&, UnitBuf<short>&)
  0.00      0.03     0.00       10     0.00     0.00  WeightPrediction::addWeightBi(UnitBuf<short const> const&, UnitBuf<short const> const&, ClpRngs const&, WPScalingParam const*, WPScalingParam const*, UnitBuf<short>&, bool, ComponentID, bool, bool)
  0.00      0.03     0.00       10     0.00     0.00  WeightPrediction::getWpScaling(Slice*, int const&, int const&, WPScalingParam*&, WPScalingParam*&, ComponentID)
  0.00      0.03     0.00       10     0.00     0.00  WeightPrediction::addWeightBiComponent(UnitBuf<short const> const&, UnitBuf<short const> const&, ClpRngs const&, WPScalingParam const*, WPScalingParam const*, UnitBuf<short>&, bool, ComponentID)
  0.00      0.03     0.00       10     0.00     0.00  SampleAdaptiveOffset::invertQuantOffsets(ComponentID, int, int, int*, int*)
  0.00      0.03     0.00       10     0.00     0.00  SampleAdaptiveOffset::isCrossedByVirtualBoundaries(int, int, int, int, int&, int&, int*, int*, PicHeader const*)
  0.00      0.03     0.00       10     0.00     0.01  df::program_options_lite::Option<Level::Name>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00       10     0.00     0.00  EncGOP::xCalculateAddPSNR(Picture*, UnitBuf<short>, AccessUnit const&, double, InputColourSpaceConversion, bool, bool, double*, bool)
  0.00      0.03     0.00       10     0.00     0.00  EncGOP::xCalculateAddPSNRs(bool, bool, int, Picture*, AccessUnit const&, std::__cxx11::list<Picture*, std::allocator<Picture*> >&, long, InputColourSpaceConversion, bool, bool, double*, bool)
  0.00      0.03     0.00       10     0.00     0.00  EncGOP::xCreatePictureTimingSEI(int, std::__cxx11::list<SEI*, std::allocator<SEI*> >&, std::__cxx11::list<SEI*, std::allocator<SEI*> >&, std::__cxx11::list<SEI*, std::allocator<SEI*> >&, Slice*, bool, std::deque<EncGOP::DUData, std::allocator<EncGOP::DUData> >&)
  0.00      0.03     0.00       10     0.00     0.00  PelStorage::getBuf(ComponentID) const
  0.00      0.03     0.00       10     0.00     0.00  std::vector<signed char, std::allocator<signed char> >::_M_default_append(unsigned long)
  0.00      0.03     0.00        9     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, true, true, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        9     0.00     0.00  void removeHighFreq_SSE<(X86_VEXT)1, 4>(short*, int, short const*, int, int, int)
  0.00      0.03     0.00        8     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, false, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        6     0.00     0.04  void std::vector<SubPic, std::allocator<SubPic> >::_M_realloc_insert<SubPic>(__gnu_cxx::__normal_iterator<SubPic*, std::vector<SubPic, std::allocator<SubPic> > >, SubPic&&)
  0.00      0.03     0.00        5     0.00     0.00  Slice::setRefPOCList()
  0.00      0.03     0.00        5     0.00     0.00  Picture::sampleRateConv(std::pair<int, int>, std::pair<int, int>, AreaBuf<short const> const&, int, int, AreaBuf<short> const&, int, int, int, bool, bool, bool, bool)
  0.00      0.03     0.00        4     0.00     0.00  EncGOP::xPicInitLMCS(Picture*, PicHeader*, Slice*)
  0.00      0.03     0.00        4     0.00     0.00  EncGOP::xWriteAPS(AccessUnit&, APS*, int, bool)
  0.00      0.03     0.00        3     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, false, false, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        3     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, true, false, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        3     0.00     0.00  PelStorage::getBuf(ComponentID)
  0.00      0.03     0.00        3     0.00     0.00  RdCost::xGetSAD32(DistParam const&)
  0.00      0.03     0.00        2     0.00     0.00  void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier**, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, Area const&, ComponentID, short const*, short const*, ClpRng const&, CodingStructure&, int, int)
  0.00      0.03     0.00        2     0.00     0.00  EncGOP::updateCompositeReference(Slice*, std::__cxx11::list<Picture*, std::allocator<Picture*> >&, int)
  0.00      0.03     0.00        2     0.00     0.00  EncGOP::xWriteDCI(AccessUnit&, DCI const*)
  0.00      0.03     0.00        2     0.00     0.00  EncGOP::EncGOP()
  0.00      0.03     0.00        2     0.00     0.00  RdCost::xCalcHADs8x16(short const*, short const*, int, int)
  0.00      0.03     0.00        2     0.00     0.00  std::vector<ReferencePictureList, std::allocator<ReferencePictureList> >::_M_default_append(unsigned long)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, false, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, true, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)1, 4, true, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)3, 2, false, false, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)3, 2, false, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)3, 4, false, false, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter5x5Blk<(X86_VEXT)1>(AlfClassifier**, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, Area const&, ComponentID, short const*, short const*, ClpRng const&, CodingStructure&, int, int)
  0.00      0.03     0.00        1     0.00     0.00  PelStorage::PelStorage()
  0.00      0.03     0.00        1     0.00     0.00  PelBufferOps::initPelBufOpsX86()
  0.00      0.03     0.00        1     0.00     0.00  void InterpolationFilter::_initInterpolationFilterX86<(X86_VEXT)1>()
  0.00      0.03     0.00        1     0.00     0.00  SEIColourTransformApply::generateColourTransfLUTs()
  0.00      0.03     0.00        1     0.00     0.00  PU::getAffineMergeCand(PredictionUnit const&, AffineMergeCtx&, int)
  0.00      0.03     0.00        1     0.00     0.00  VPS::~VPS()
  0.00      0.03     0.00        1     0.00     0.00  Slice::scaleRefPicList(Picture**, PicHeader*, APS**, APS*, APS*, bool)
  0.00      0.03     0.00        1     0.00     0.00  Slice::xGetLongTermRefPicCandidate(std::__cxx11::list<Picture*, std::allocator<Picture*> >&, int, bool, int)
  0.00      0.03     0.00        1     0.00     0.00  EncGOP::xFindDistortionPlaneWPSNR(AreaBuf<short const> const&, AreaBuf<short const> const&, unsigned int, AreaBuf<short const> const&, ComponentID, ChromaFormat)
  0.00      0.03     0.00        1     0.00     0.00  EncGOP::xWriteAccessUnitDelimiter(AccessUnit&, Slice*)
  0.00      0.03     0.00        1     0.00     0.00  EncGOP::preLoopFilterPicAndCalcDist(Picture*)
  0.00      0.03     0.00        1     0.00     0.00  unsigned long RdCost::xGetSAD_IBD_SIMD<(X86_VEXT)1>(DistParam const&)
  0.00      0.03     0.00        1     0.00     0.00  unsigned long RdCost::xGetSADwMask_SIMD<(X86_VEXT)3>(DistParam const&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 33.33% of 0.03 seconds

index % time    self  children    called     name
[1]    100.0    0.03    0.00  176508+415248  <cycle 1 as a whole> [1]
