Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.03     0.00     2043     0.00     0.23  std::vector<unsigned short, std::allocator<unsigned short> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, unsigned long, unsigned short const&)
  0.00      0.03     0.00     2008     0.00     0.00  RdCost::xGetMRSAD16N(DistParam const&)
  0.00      0.03     0.00     1969     0.00     0.00  unsigned long RdCost::xGetHADs_SIMD<(X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00     1663     0.00     0.00  void simdFilter<(X86_VEXT)4, 2, true, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00     1579     0.00     0.00  EncLib::selectReferencePictureList(Slice*, int, int, int)
  0.00      0.03     0.00     1567     0.00     0.00  EncGOP::destroy()
  0.00      0.03     0.00     1480     0.00     0.00  main
  0.00      0.03     0.00     1476     0.00     0.00  EncLib::PPSNeedsWriting(int)
  0.00      0.03     0.00     1321     0.00     0.00  df::program_options_lite::Option<int>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00     1266     0.00     0.00  AreaBuf<short>::addWeightedAvg(AreaBuf<short const> const&, AreaBuf<short const> const&, ClpRng const&, signed char)
  0.00      0.03     0.00     1225     0.00     0.00  unsigned long RdCost::xGetSADwMask_SIMD<(X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00     1190     0.00     0.00  EncGOP::xUpdateTimingSEI(SEIPictureTiming*, std::deque<EncGOP::DUData, std::allocator<EncGOP::DUData> >&, SPS const*)
  0.00      0.03     0.00     1190     0.00     0.98  CtxStore<BinProbModel_Std>::setWinSizes(std::vector<unsigned char, std::allocator<unsigned char> > const&)
  0.00      0.03     0.00     1116     0.00     0.00  EncLib::encodePrep(bool, PelStorage*, PelStorage*, PelStorage*, InputColourSpaceConversion, std::__cxx11::list<UnitBuf<short>*, std::allocator<UnitBuf<short>*> >&, int&)
  0.00      0.03     0.00     1077     0.00     0.00  df::program_options_lite::Option<double>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00     1061     0.00     0.00  ReferencePictureList::~ReferencePictureList()
  0.00      0.03     0.00     1033     0.00     0.00  EncLib::APSNeedsWriting(int)
  0.00      0.03     0.00      994     0.00     0.45  MergeCtx::setMergeInfo(PredictionUnit&, int)
  0.00      0.03     0.00      990     0.00     0.00  std::vector<SAOBlkParam, std::allocator<SAOBlkParam> >::_M_default_append(unsigned long)
  0.00      0.03     0.00      989     0.00     0.12  EncLib::EncLib(EncLibCommon*)
  0.00      0.03     0.00      982     0.00     0.00  void simdFilter<(X86_VEXT)3, 4, false, true, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00      971     0.00     0.00  CU::isSameCtu(CodingUnit const&, CodingUnit const&)
  0.00      0.03     0.00      938     0.00     0.00  EncLib::~EncLib()
  0.00      0.03     0.00      918     0.00     0.00  void std::vector<SubPic, std::allocator<SubPic> >::_M_realloc_insert<SubPic>(__gnu_cxx::__normal_iterator<SubPic*, std::vector<SubPic, std::allocator<SubPic> > >, SubPic&&)
  0.00      0.03     0.00      872     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, ParameterSetMap<APS>::MapData<APS> > > std::_Rb_tree<int, std::pair<int const, ParameterSetMap<APS>::MapData<APS> >, std::_Select1st<std::pair<int const, ParameterSetMap<APS>::MapData<APS> > >, std::less<int>, std::allocator<std::pair<int const, ParameterSetMap<APS>::MapData<APS> > > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<int const, ParameterSetMap<APS>::MapData<APS> > >, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  0.00      0.03     0.00      866     0.00     0.00  df::program_options_lite::Option<ScalingListMode>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00      841     0.00     0.18  CtxStore<BinProbModel_Std>::loadPStates(std::vector<unsigned short, std::allocator<unsigned short> > const&)
  0.00      0.03     0.00      841     0.00     0.51  CtxStore<BinProbModel_Std>::CtxStore(bool)
  0.00      0.03     0.00      838     0.00     0.63  DeriveCtx::CtxSplit(CodingStructure const&, Partitioner&, unsigned int&, unsigned int&, unsigned int&, unsigned int&, unsigned int&, bool*)
  0.00      0.03     0.00      823     0.00     0.21  CtxSet::CtxSet(std::initializer_list<CtxSet>)
  0.00      0.03     0.00      821     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...) [clone .constprop.0]
  0.00      0.03     0.00      800     0.00     0.12  SMultiValueInput<unsigned int>::readValue(char const*&, bool&)
  0.00      0.03     0.00      788     0.00     0.00  EncGOP::EncGOP()
  0.00      0.03     0.00      784     0.00     0.00  RdCostWeightPrediction::xGetSSEw(DistParam const&)
  0.00      0.03     0.00      784     0.00     0.00  df::program_options_lite::Option<std::map<int, double, std::less<int>, std::allocator<std::pair<int const, double> > > >::~Option()
  0.00      0.03     0.00      772     0.00     0.00  df::program_options_lite::Option<bool>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00      748     0.00     0.00  CtxStore<BinProbModel_Std>::init(int, int)
  0.00      0.03     0.00      744     0.00     0.00  df::program_options_lite::Option<EncAppCfg::OptionalValue<unsigned int> >::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00      713     0.00     0.00  EncGOP::xCreateIRAPLeadingSEIMessages(std::__cxx11::list<SEI*, std::allocator<SEI*> >&, SPS const*, PPS const*)
  0.00      0.03     0.00      706     0.00     0.00  RdCost::xGetSSE64_WTD(DistParam const&)
  0.00      0.03     0.00      696     0.00     0.34  df::program_options_lite::Option<SMultiValueInput<Level::Name> >::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00      550     0.00     0.00  removeHighFreq(short*, int, short const*, int, int, int)
  0.00      0.03     0.00      550     0.00     0.00  EncGOP::getNalUnitType(int, int, bool)
  0.00      0.03     0.00      515     0.00     0.00  unsigned long RdCost::xGetSAD_IBD_SIMD<(X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00      489     0.00     0.00  RdCost::xGetSAD12(DistParam const&)
  0.00      0.03     0.00      475     0.00     0.00  Analyze::printOut(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, ChromaFormat, bool, bool, bool, bool, bool, BitDepths const&, bool, bool)
  0.00      0.03     0.00      356     0.00     0.00  writeAnnexBAccessUnit(std::ostream&, AccessUnit const&)
  0.00      0.03     0.00      338     0.00     0.00  RdCost::xGetSAD16(DistParam const&)
  0.00      0.03     0.00      335     0.00     0.00  EncLib::xGetNewPicBuffer(std::__cxx11::list<UnitBuf<short>*, std::allocator<UnitBuf<short>*> >&, Picture*&, int)
  0.00      0.03     0.00      300     0.00     0.07  df::program_options_lite::Option<unsigned int>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00      272     0.00     0.00  EncAppCfg::xCheckParameter()
  0.00      0.03     0.00      266     0.00     0.00  AreaBuf<short const>::meanDiff(AreaBuf<short const> const&) const
  0.00      0.03     0.00      245     0.00     0.00  RdCost::xGetSSE16N(DistParam const&)
  0.00      0.03     0.00      236     0.00     0.17  calcBlkGradientCore(int, int, int*, int*, int*, int*, int*, int&, int&, int&, int&, int&, int, int, int)
  0.00      0.03     0.00      236     0.00     0.00  unsigned long RdCost::xGetSAD_NxN_SIMD<64, (X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00      225     0.00     0.00  EncGOP::xFindDistortionPlane(AreaBuf<short const> const&, AreaBuf<short const> const&, unsigned int, unsigned int, unsigned int)
  0.00      0.03     0.00      221     0.00     0.00  BinEncoderBase::getEstFracBits() const
  0.00      0.03     0.00      216     0.00     0.00  EncApp::xInitLibCfg()
  0.00      0.03     0.00      193     0.00     0.00  PelStorage::getBuf(UnitArea const&) const
  0.00      0.03     0.00      186     0.00     1.30  MergeCtx::setMmvdMergeCandiInfo(PredictionUnit&, int)
  0.00      0.03     0.00      157     0.00     0.00  RdCost::xGetMRSAD4(DistParam const&)
  0.00      0.03     0.00      152     0.00     0.00  void simdFilter<(X86_VEXT)3, 4, false, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00      150     0.00     0.00  EncLib::encodePrep(bool, PelStorage*, PelStorage*, PelStorage*, InputColourSpaceConversion, std::__cxx11::list<UnitBuf<short>*, std::allocator<UnitBuf<short>*> >&, int&, bool)
  0.00      0.03     0.00      134     0.00     0.00  RdCost::xCalcHADs4x8(short const*, short const*, int, int)
  0.00      0.03     0.00      131     0.00     0.33  SMultiValueInput<double>::readValue(char const*&, bool&)
  0.00      0.03     0.00      131     0.00     1.71  SMultiValueInput<unsigned int>::readValues(std::istream&)
  0.00      0.03     0.00      119     0.00     0.00  SampleAdaptiveOffset::offsetBlock(int, ClpRng const&, int, int*, short const*, short*, int, int, int, int, bool, bool, bool, bool, bool, bool, bool, bool, bool, int*, int*, int, int)
  0.00      0.03     0.00      115     0.00     0.00  RdCost::xGetSAD(DistParam const&)
  0.00      0.03     0.00      108     0.00     0.00  paddingCore(short*, int, int, int, int)
  0.00      0.03     0.00       78     0.00     0.00  RdCost::xGetSAD16N(DistParam const&)
  0.00      0.03     0.00       72     0.00     0.00  SizeIndexInfoLog2::init(unsigned int)
  0.00      0.03     0.00       55     0.00     0.32  df::program_options_lite::Option<SMultiValueInput<unsigned int> >::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00       52     0.00     0.00  EncGOP::applyDeblockingFilterParameterSelection(Picture*, unsigned int, int)
  0.00      0.03     0.00       51     0.00     0.00  AdaptiveLoopFilter::~AdaptiveLoopFilter()
  0.00      0.03     0.00       48     0.00     0.00  RdCost::xGetMRSAD(DistParam const&)
  0.00      0.03     0.00       46     0.00     0.00  EncLib::xInitPPS(PPS&, SPS const&)
  0.00      0.03     0.00       43     0.00     0.00  df::program_options_lite::Option<Level::Tier>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00       40     0.00     0.00  unsigned long RdCost::xGetSAD_NxN_SIMD<4, (X86_VEXT)1>(DistParam const&)
  0.00      0.03     0.00       40     0.00     0.37  Exception& Exception::operator<< <unsigned int>(unsigned int)
  0.00      0.03     0.00       40     0.00    48.97  std::vector<BinProbModel_Std, std::allocator<BinProbModel_Std> >::_M_default_append(unsigned long)
  0.00      0.03     0.00       39     0.00     0.06  SMultiValueInput<double>::readValues(std::istream&)
  0.00      0.03     0.00       39     0.00     0.00  Slice::setDefaultClpRng(SPS const&)
  0.00      0.03     0.00       39     0.00     0.00  EncApp::EncApp(std::basic_fstream<char, std::char_traits<char> >&, EncLibCommon*)
  0.00      0.03     0.00       38     0.00     0.00  DeriveCtx::CtxPltCopyFlag(unsigned int, unsigned int)
  0.00      0.03     0.00       38     0.00    24.78  PicHeader::resetWpScaling()
  0.00      0.03     0.00       35     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, false, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00       35     0.00     0.00  unsigned long RdCost::xGetSAD_NxN_SIMD<16, (X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00       31     0.00     0.00  SAOBlkParam::operator=(SAOBlkParam const&)
  0.00      0.03     0.00       31     0.00     0.00  std::vector<short, std::allocator<short> >::_M_fill_insert(__gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > >, unsigned long, short const&)
  0.00      0.03     0.00       30     0.00     0.00  RdCost::xGetSAD_full(DistParam const&)
  0.00      0.03     0.00       30     0.00     0.00  RdCost::xCalcHADs16x8(short const*, short const*, int, int)
  0.00      0.03     0.00       30     0.00     0.00  RdCost::xGetSSE(DistParam const&)
  0.00      0.03     0.00       27     0.00     0.00  EncGOP::printOutSummary(unsigned int, bool, bool, bool, bool, bool, bool, BitDepths const&, int)
  0.00      0.03     0.00       22     0.00     0.00  VPS::VPS()
  0.00      0.03     0.00       22     0.00     0.00  operator==(ConstraintInfo const&, ConstraintInfo const&)
  0.00      0.03     0.00       20     0.00     0.00  void simdDeriveClassificationBlk<(X86_VEXT)1>(AlfClassifier**, int***, AreaBuf<short const> const&, Area const&, Area const&, int, int, int)
  0.00      0.03     0.00       20     0.00     0.11  WeightPrediction::addWeightBiComponent(UnitBuf<short const> const&, UnitBuf<short const> const&, ClpRngs const&, WPScalingParam const*, WPScalingParam const*, UnitBuf<short>&, bool, ComponentID)
  0.00      0.03     0.00       20     0.00     0.00  SampleAdaptiveOffset::deriveLoopFilterBoundaryAvailibility(CodingStructure&, Position const&, bool&, bool&, bool&, bool&, bool&, bool&, bool&, bool&) const
  0.00      0.03     0.00       18     0.00     0.00  RdCost::xGetMRSAD8(DistParam const&)
  0.00      0.03     0.00       17     0.00     0.00  EncGOP::updateCompositeReference(Slice*, std::__cxx11::list<Picture*, std::allocator<Picture*> >&, int)
  0.00      0.03     0.00       14     0.00     0.00  RdCost::xCalcHADs8x4(short const*, short const*, int, int)
  0.00      0.03     0.00       13     0.00     0.00  void simdFilter<(X86_VEXT)1, 8, true, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00       13     0.00     0.06  PU::getInterMergeCandidates(PredictionUnit const&, MergeCtx&, int, int const&)
  0.00      0.03     0.00       12     0.00     0.00  void simdFilter<(X86_VEXT)1, 4, false, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00       12     0.00     0.00  PPS::~PPS()
  0.00      0.03     0.00       12     0.00     0.00  RdCost::init()
  0.00      0.03     0.00       11     0.00     0.00  ScalingList::getScalingListDefaultAddress(unsigned int)
  0.00      0.03     0.00       11     0.00     0.00  SEIWriter::~SEIWriter()
  0.00      0.03     0.00       11     0.00     0.00  Slice::getMinPictureDistance() const
  0.00      0.03     0.00       11     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::emplace_back<unsigned int>(unsigned int&&)
  0.00      0.03     0.00       10     0.00     0.00  void simdFilter<(X86_VEXT)1, 4, false, true, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00       10     0.00     0.00  void simdFilter<(X86_VEXT)3, 2, true, false, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00       10     0.00     0.00  void copyBufferSimd<(X86_VEXT)1>(short*, int, short*, int, int, int)
  0.00      0.03     0.00       10     0.00     0.00  void gradFilter_SSE<(X86_VEXT)1, false>(short*, int, int, int, int, short*, short*, int)
  0.00      0.03     0.00       10     0.00     0.12  void simdFilterCopy<(X86_VEXT)4, false, false>(ClpRng const&, short const*, int, short*, int, int, int, bool)
  0.00      0.03     0.00       10     0.00     0.30  void linTf_SSE_entry<(X86_VEXT)1, 4>(short const*, int, short*, int, int, int, int, int, int, ClpRng const&, bool)
  0.00      0.03     0.00       10     0.00     0.36  void linTf_SSE_entry<(X86_VEXT)1, 8>(short const*, int, short*, int, int, int, int, int, int, ClpRng const&, bool)
  0.00      0.03     0.00       10     0.00     1.91  void linTf_SSE_entry<(X86_VEXT)4, 8>(short const*, int, short*, int, int, int, int, int, int, ClpRng const&, bool)
  0.00      0.03     0.00       10     0.00     0.01  void simdFilter7x7Blk<(X86_VEXT)1>(AlfClassifier**, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, Area const&, ComponentID, short const*, short const*, ClpRng const&, CodingStructure&, int, int)
  0.00      0.03     0.00       10     0.00     0.00  void reco_SSE<(X86_VEXT)1, 8>(short const*, int, short const*, int, short*, int, int, int, ClpRng const&)
  0.00      0.03     0.00       10     0.00     0.00  void AffineGradientSearch::_initAffineGradientSearchX86<(X86_VEXT)1>()
  0.00      0.03     0.00       10     0.00     0.00  SampleAdaptiveOffset::SAOProcess(CodingStructure&, SAOBlkParam*)
  0.00      0.03     0.00       10     0.00     0.00  SampleAdaptiveOffset::offsetCTU(UnitArea const&, UnitBuf<short const> const&, UnitBuf<short>&, SAOBlkParam&, CodingStructure&)
  0.00      0.03     0.00       10     0.00     3.37  df::program_options_lite::Option<Level::Name>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00       10     0.00     0.00  EncGOP::xCalculateAddPSNR(Picture*, UnitBuf<short>, AccessUnit const&, double, InputColourSpaceConversion, bool, bool, double*, bool)
  0.00      0.03     0.00       10     0.00     0.00  EncGOP::xCreatePictureTimingSEI(int, std::__cxx11::list<SEI*, std::allocator<SEI*> >&, std::__cxx11::list<SEI*, std::allocator<SEI*> >&, std::__cxx11::list<SEI*, std::allocator<SEI*> >&, Slice*, bool, std::deque<EncGOP::DUData, std::allocator<EncGOP::DUData> >&)
  0.00      0.03     0.00       10     0.00     0.34  EncGOP::xCreateExplicitReferencePictureSetFromReference(Slice*, std::__cxx11::list<Picture*, std::allocator<Picture*> >&, ReferencePictureList const*, ReferencePictureList const*)
  0.00      0.03     0.00       10     0.00     0.00  PelStorage::getBuf(ComponentID) const
  0.00      0.03     0.00        9     0.00     0.00  void reco_SSE<(X86_VEXT)1, 4>(short const*, int, short const*, int, short*, int, int, int, ClpRng const&)
  0.00      0.03     0.00        7     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, false, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        6     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, true, true, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        6     0.00    12.46  ParameterSetMap<APS>::allocatePS(int)
  0.00      0.03     0.00        5     0.00     0.00  void InterpolationFilter::_initInterpolationFilterX86<(X86_VEXT)1>()
  0.00      0.03     0.00        5     0.00     0.00  Slice::setRefPOCList()
  0.00      0.03     0.00        5     0.00     0.00  Picture::sampleRateConv(std::pair<int, int>, std::pair<int, int>, AreaBuf<short const> const&, int, int, AreaBuf<short> const&, int, int, int, bool, bool, bool, bool)
  0.00      0.03     0.00        4     0.00     0.00  EncGOP::xWriteParameterSets(AccessUnit&, Slice*, bool, int)
  0.00      0.03     0.00        4     0.00     0.00  EncGOP::xCalculateInterlacedAddPSNR(Picture*, Picture*, UnitBuf<short>, UnitBuf<short>, InputColourSpaceConversion, bool, bool, double*, bool)
  0.00      0.03     0.00        4     0.00     0.00  unsigned long RdCost::xGetSAD_NxN_SIMD<32, (X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00        3     0.00     0.00  PelStorage::~PelStorage()
  0.00      0.03     0.00        3     0.00     0.00  void InterpolationFilter::_initInterpolationFilterX86<(X86_VEXT)3>()
  0.00      0.03     0.00        3     0.00     0.00  RdCost::xGetSAD32(DistParam const&)
  0.00      0.03     0.00        2     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, false, false, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        2     0.00     0.00  SampleAdaptiveOffset::getMergeList(CodingStructure&, int, SAOBlkParam*, SAOBlkParam**)
  0.00      0.03     0.00        2     0.00     0.00  EncGOP::xWriteLeadingSEIMessages(std::__cxx11::list<SEI*, std::allocator<SEI*> >&, std::__cxx11::list<SEI*, std::allocator<SEI*> >&, AccessUnit&, int, SPS const*, std::deque<EncGOP::DUData, std::allocator<EncGOP::DUData> >&)
  0.00      0.03     0.00        2     0.00     0.00  RdCost::xCalcHADs8x16(short const*, short const*, int, int)
  0.00      0.03     0.00        2     0.00     0.03  std::vector<ReferencePictureList, std::allocator<ReferencePictureList> >::_M_default_append(unsigned long)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, false, true, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)1, 2, true, false, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.06  void simdFilter<(X86_VEXT)1, 2, true, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)1, 4, false, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)1, 4, true, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)3, 2, false, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     2.68  void simdFilter<(X86_VEXT)3, 2, false, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)3, 2, false, true, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter<(X86_VEXT)3, 8, true, false, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter5x5Blk<(X86_VEXT)1>(AlfClassifier**, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, Area const&, ComponentID, short const*, short const*, ClpRng const&, CodingStructure&, int, int)
  0.00      0.03     0.00        1     0.00     0.00  void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier**, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, Area const&, ComponentID, short const*, short const*, ClpRng const&, CodingStructure&, int, int)
  0.00      0.03     0.00        1     0.00     0.00  PelStorage::PelStorage()
  0.00      0.03     0.00        1     0.00     0.00  SEIPictureTiming::~SEIPictureTiming()
  0.00      0.03     0.00        1     0.00     0.00  WeightPrediction::addWeightUni(UnitBuf<short const> const&, ClpRngs const&, WPScalingParam const*, UnitBuf<short>&, ComponentID, bool, bool)
  0.00      0.03     0.00        1     0.00     0.00  AdaptiveLoopFilter::initAdaptiveLoopFilterX86()
  0.00      0.03     0.00        1     0.00     0.00  SampleAdaptiveOffset::destroy()
  0.00      0.03     0.00        1     0.00     0.00  SampleAdaptiveOffset::~SampleAdaptiveOffset()
  0.00      0.03     0.00        1     0.00     0.00  SEIColourTransformApply::SEIColourTransformApply()
  0.00      0.03     0.00        1     0.00     0.00  PU::getAffineMergeCand(PredictionUnit const&, AffineMergeCtx&, int)
  0.00      0.03     0.00        1     0.00     0.00  df::program_options_lite::Option<CostMode>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00        1     0.00     0.00  VPS::~VPS()
  0.00      0.03     0.00        1     0.00     0.00  Slice::scaleRefPicList(Picture**, PicHeader*, APS**, APS*, APS*, bool)
  0.00      0.03     0.00        1     0.00     0.06  Slice::xGetLongTermRefPic(std::__cxx11::list<Picture*, std::allocator<Picture*> >&, int, bool, int)
  0.00      0.03     0.00        1     0.00     0.06  EncGOP::xCalculateMSSSIM(short const*, int, short const*, int, int, int, unsigned int)
  0.00      0.03     0.00        1     0.00     0.00  EncGOP::xWritePPS(AccessUnit&, PPS const*, int)
  0.00      0.03     0.00        1     0.00     0.00  EncLib::xInitDCI(DCI&, SPS const&)
  0.00      0.03     0.00        1     0.00     0.00  unsigned long RdCost::xGetSAD_SIMD<(X86_VEXT)3>(DistParam const&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
